left_id,left_canonical_name,left_normalized_name,right_id,right_canonical_name,right_normalized_name,similarity,suggested_name,approved,memo
122,스팸,스팸,2300,스팸(소),스팸(소),0.9955,스팸,Y,rule_exact_after_cleanup
2055,감자 큰거,감자큰거,2358,감자 큰것,감자큰것,0.9944,감자,Y,rule_exact_after_cleanup
8,감자,감자,1871,감자(중),감자(중),0.994,감자,Y,rule_exact_after_cleanup
2097,굴비,굴비,2462,굴,굴,0.9918,,,
559,머스터드소스,머스터드소스,2478,머스타드소스,머스타드소스,0.9914,머스타드,Y,rule_exact_after_cleanup
1727,숙주나물,숙주나물,2069,세발나물,세발나물,0.9909,,,
166,연겨자,연겨자,1476,조림간장,조림간장,0.9905,,,
8,감자,감자,1889,감자(대),감자(대),0.9903,감자,Y,rule_exact_after_cleanup
38,참기름,참기름,3253,참기름(들기름),참기름(들기름),0.9903,참기름,Y,rule_exact_after_cleanup
1476,조림간장,조림간장,2793,네모참치,네모참치,0.99,,,
1391,소세지,소세지,1856,후랑크소세지,후랑크소세지,0.9897,소시지,Y,rule_exact_after_cleanup
135,들깨,들깨,138,들깨가루,들깨가루,0.9896,,,
1871,감자(중),감자(중),1889,감자(대),감자(대),0.989,감자,Y,rule_exact_after_cleanup
1476,조림간장,조림간장,2462,굴,굴,0.9888,,,
302,다진 호박,다진호박,346,다진 애호박,다진애호박,0.9887,,,
1476,조림간장,조림간장,2689,소면,소면,0.9885,,,
1773,통후추,통후추,1807,백후추,백후추,0.9884,후춧가루,Y,rule_exact_after_cleanup
1783,겨자,겨자,2481,알감자,알감자,0.988,,,
170,멸치,멸치,2406,중멸치,중멸치,0.9878,멸치,Y,rule_exact_after_cleanup
191,숙주,숙주,1783,겨자,겨자,0.9877,,,
1476,조림간장,조림간장,2270,잔파,잔파,0.9876,,,
2173,동그란어묵,동그란어묵,2750,죽봉어묵,죽봉어묵,0.9875,어묵,Y,rule_exact_after_cleanup
2270,잔파,잔파,2793,네모참치,네모참치,0.9874,,,
1924,불린미역,불린미역,2124,건미역,건미역,0.987,미역,Y,rule_exact_after_cleanup
14,들기름,들기름,38,참기름,참기름,0.9866,,,
191,숙주,숙주,2124,건미역,건미역,0.9866,,,
1783,겨자,겨자,2689,소면,소면,0.9865,,,
2124,건미역,건미역,2635,자른미역,자른미역,0.986,미역,Y,rule_exact_after_cleanup
191,숙주,숙주,2481,알감자,알감자,0.9859,,,
118,머스타드,머스타드,559,머스터드소스,머스터드소스,0.9858,머스타드,Y,rule_exact_after_cleanup
2270,잔파,잔파,2635,자른미역,자른미역,0.9858,,,
191,숙주,숙주,1476,조림간장,조림간장,0.9856,,,
2270,잔파,잔파,2630,단감,단감,0.9856,,,
14,들기름,들기름,2007,들기름/참기름,들기름/참기름,0.9855,,,
1853,단호박,단호박,2630,단감,단감,0.9855,,,
2014,순두부,순두부,2075,연두부,연두부,0.9855,,,
1949,순대,순대,1981,파채,파채,0.9854,,,
2007,들기름/참기름,들기름/참기름,3253,참기름(들기름),참기름(들기름),0.9854,,,
713,묵은지,묵은지,2173,동그란어묵,동그란어묵,0.9852,,,
166,연겨자,연겨자,2462,굴,굴,0.9851,,,
1476,조림간장,조림간장,1734,쪽파,쪽파,0.9851,,,
1980,고등어,고등어,2313,자반고등어,자반고등어,0.9851,,,
2044,참나물,참나물,2104,다진양파,다진양파,0.9851,,,
1883,미역,미역,2124,건미역,건미역,0.9849,미역,Y,rule_exact_after_cleanup
2319,넓적 어묵,넓적어묵,2455,사각 어묵,사각어묵,0.9849,어묵,Y,rule_exact_after_cleanup
2689,소면,소면,2793,네모참치,네모참치,0.9849,,,
138,들깨가루,들깨가루,2097,굴비,굴비,0.9845,,,
37,매실청,매실청,191,숙주,숙주,0.9844,,,
2630,단감,단감,2793,네모참치,네모참치,0.9844,,,
22,사각어묵,어묵,2039,모듬 어묵,모듬어묵,0.9842,어묵,Y,rule_exact_after_cleanup
2124,건미역,건미역,2805,미원,미원,0.9842,,,
2124,건미역,건미역,2270,잔파,잔파,0.9841,,,
322,오징어채,오징어채,1838,오징어,오징어,0.984,,,
50,참치액,참치액,84,매실액,매실액,0.9839,,,
2012,실채,실채,2689,소면,소면,0.9838,,,
2097,굴비,굴비,2270,잔파,잔파,0.9837,,,
191,숙주,숙주,2793,네모참치,네모참치,0.9836,,,
166,연겨자,연겨자,2793,네모참치,네모참치,0.9835,,,
1993,참치(연어캔),참치(연어캔),2033,참치캔,참치캔,0.9835,,,
43,굴소스,굴소스,2665,짜장소스,짜장소스,0.9834,,,
1997,곤약면,곤약면,2793,네모참치,네모참치,0.9834,,,
104,청국장,청국장,1131,집간장,집간장,0.9833,,,
713,묵은지,묵은지,2750,죽봉어묵,죽봉어묵,0.9833,,,
1476,조림간장,조림간장,2014,순두부,순두부,0.9833,,,
1476,조림간장,조림간장,2097,굴비,굴비,0.9833,,,
