,img,title,quantity,time,difficulty,ingredients,steps
0,https://recipe1.ezmember.co.kr/cache/recipe/2026/04/20/a28de000eb6e651b738c3e4a6dd2b0ed1.jpg,알배추전,1인분,30분 이내,초급,"[{'name': '알배추잎', 'quantity': '4장'}, {'name': '부침가루', 'quantity': '1컵'}, {'name': '물', 'quantity': '1컵'}, {'name': '밀가루', 'quantity': '약간'}, {'name': '소금', 'quantity': '약간'}]","[{'description': '알배추는 깨끗하게 씻어서 머리쪽 뿌리 부분은 잘라주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/20/e5ad3dc435f87ce98efe8a036294bbd31.jpg'}, {'description': '알배추잎은 반으로 가른 후 두꺼운 줄기 부분은 망방이로 두들겨서 조직을 부드럽고 납작하게 만들어 주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/20/e6545abe5c7d17e2a1d9f85a771d1ae71.jpg'}, {'description': '밀가루 약간을 앞뒤로 뿌려서 수분을 잡고 밀가루 옷이 잘 붙도록 해 주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/20/de754ef681d8be66616c00fbd8d8955c1.jpg'}, {'description': '소금 약간을 뿌려주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/20/d881ac9a0e3ca580aa26924b3a1bd5381.jpg'}, {'description': '바닥이 넓은 볼에 부침가루 1컵과 물을 부어 밀가루 반죽물을 만들어 주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/20/c32053c518ab57137341baa39e5414bd1.jpg'}, {'description': '알배추에 밀가루 반죽물을 앞뒤로 묻힌 후 팬에 올려주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/20/b24e04fedf09cd13ddfd8d682b578b991.jpg'}, {'description': '한 면이 노릇하게 익었으면 뒤집어서 반대면도 익혀주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/20/4929a854165ac85de6f111c501ba290e1.jpg'}, {'description': '접시에 담고 전간장을 곁들여 완성합니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/20/03d257b14156632983342901923e68aa1.jpg'}]"
1,https://recipe1.ezmember.co.kr/cache/recipe/2026/04/12/48a52783febc2f3704a0fd38765b6ae31.jpg,얼큰 무청시래기 소고기 된장국,6인분 이상,60분 이내,중급,"[{'name': '무청시래기', 'quantity': '400g'}, {'name': '샤브용 소고기 목살', 'quantity': '300g'}, {'name': '감자', 'quantity': '3개'}, {'name': '대파', 'quantity': '1대'}, {'name': '멸치육수', 'quantity': '10컵'}, {'name': '국간장', 'quantity': '2큰술'}, {'name': '참치액젓', 'quantity': '1큰술'}, {'name': '맛술', 'quantity': '2큰술'}, {'name': '들기름', 'quantity': '2큰술'}, {'name': '다진 마늘', 'quantity': '2큰술'}, {'name': '소금', 'quantity': '1/2작은술'}, {'name': '후춧가루', 'quantity': '약간'}, {'name': '고춧가루', 'quantity': '3큰술'}, {'name': '고추장', 'quantity': '1큰술'}, {'name': '된장', 'quantity': '2큰술'}]","[{'description': '소고기는 기름기가 적은 샤브용 소고기를 준비합니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/12/9b1bb82786b4bf6351e00e1db971ed831.jpg'}, {'description': '감자는 껍질을 깎고 2 ~ 3cm 크기의 큐브 모양으로 썰어주세요.\n대파는 송송 썰어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/12/a310d4f7139c8781e791e338ee7ba9bf1.jpg'}, {'description': '무청시래기는 먹기 좋은 길이로 잘라주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/12/00d77f5962bd280b05d07c76c5ddb3251.jpg'}, {'description': '국간장 2큰술, 참치액젓 1큰술, 맛술 2큰술, 들기름 2큰술, 다진 마늘 2큰술, 소금 1/2작은술, 후춧가루 약간, 고춧가루 3큰술, 고추장 1큰술, 된장 2큰술을 넣고 무청시래기와 버무려서 시래기 양념을 해 주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/12/8e1bd13d42f31cb26eb707381ec606931.jpg'}, {'description': '국 냄비에 멸치육수 10컵을 붓고 물이 끓어오르면 양념해 놓은 시래기와 감자를 넣어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/12/0daad0c714beab0d0abcf22622a3cb441.jpg'}, {'description': '강불에서 육수가 끓어오르면 중불로 낮추어 감자가 익을 때까지 끓여주세요.\n중간에 떠오르는 거품은 걷어가며 끓여주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/12/4d53075518f0588157e6fcd2865068d41.jpg'}, {'description': '감자가 익었으면 소고기를 넣어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/12/e0557993857677af734581c197c356dc1.jpg'}, {'description': '소고기가 익을 때까지 끓인 후 대파를 넣고 한소끔 더 끓여주세요.\n부족한 간은 참치액젓으로 맞추고 불을 꺼주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/12/a92087b1b3213346dd8d9da8cc1e4ff41.jpg'}, {'description': '따뜻할 때 그릇에 담고 완성합니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/12/87933195acb75a337ff82ea2ef84e20a1.jpg'}]"
2,https://recipe1.ezmember.co.kr/cache/recipe/2026/04/06/670699c6260f76a01988c1e912412de11.jpg,매콤떡볶이,4인분,30분 이내,초급,"[{'name': '물', 'quantity': '500ml'}, {'name': '집고추장', 'quantity': '3스푼'}, {'name': '설탕', 'quantity': '2스푼'}, {'name': '사각어묵', 'quantity': '4장'}, {'name': '대파', 'quantity': '1뿌리'}]","[{'description': '물 500ml를 넣고 집고추장 3스푼을 넣어서 물과 함께 잘 풀어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/06/f0e4a7475c3f7e654e2b18ea046f87351.jpg'}, {'description': '떡볶이떡을 물로 한번 헹군 후 넣어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/06/5bad96d686059d3ebdc7afbe324cdc7d1.jpg'}, {'description': '설탕 2스푼 정도를 넣어서 잘 섞어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/06/97da5abb305d196e7f58e54b8bf97d671.jpg'}, {'description': '사각어묵을 삼각형 모양으로 잘라서 추가로 넣어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/06/8e4eb90d1ab0b6072f1650fe68a499a81.jpg'}]"
3,https://recipe1.ezmember.co.kr/cache/recipe/2026/04/13/f42064e98126cb7bd7bb9d5452d37c501.jpg,동글동글 귀여운 메추리알 장조림 만드는법 초간단 레시피,4인분,30분 이내,아무나,"[{'name': '메추리알', 'quantity': '1kg'}, {'name': '다시마', 'quantity': '약간'}, {'name': '진간장', 'quantity': '10스푼'}, {'name': '물엿', 'quantity': '5스푼'}]","[{'description': '메추리알은 한번 씻어줍니다\n마트 가서 메추리알 반찬 하려고20개짜리 4팩 집었는데\n바로 옆에 깐 메추리알이 더 저렴해서 구입해봤습니다\n삶는 과정이 없어 편하더라구요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/d74d6571e2524a6d2ca4ce3457f484a91.jpg'}, {'description': '냄비에 물을 메추리알 잠기게 넣어줍니다\n장조림에 들어간 다시마를 좋아해서 다시마도 넣어줬어요!\n다시마가 싫으시면 뺴도 무관합니다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/f672180030c3cc046a6576c1cb7a394e1.jpg'}, {'description': '진간장을 넣어줍니다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/bcf353baaa0c451c49aaa0526c7d66fc1.jpg'}, {'description': '6스푼정도 넣어보고 끓으면 간 보다 추가하면됩니다!\n계속 끓입니다 불은 중불 하다 끓으면 약불로 해주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/2a07caa96636ae32e7bbf87e0fea7ebf1.jpg'}, {'description': '점점 색이 입혀집니다\n이때 간 보고 입맛에 맞게 간장 추가해주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/8c42cee6baea5fc27b3ef293c6f41f451.jpg'}, {'description': '거의 다 졸여지면 물엿을 넣어줍니다\n단맛 코팅 !', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/2858ec219c2fc1481f837ee70b9f726d1.jpg'}]"
4,https://recipe1.ezmember.co.kr/cache/recipe/2026/04/04/6c87cf9216ee5c781d53c661850a286e1.jpg,참치 김치찌개 만드는 법 떡국떡 이용한 황금 레시피,2인분,15분 이내,초급,"[{'name': '잘 익은 김치', 'quantity': '1/4포기'}, {'name': '캔 참치', 'quantity': '1캔'}, {'name': '떡국떡', 'quantity': '1줌'}, {'name': '대파', 'quantity': '1/2대'}, {'name': '고춧가루', 'quantity': '1T'}, {'name': '국간장', 'quantity': '0.5T'}, {'name': '물 또는 쌀뜨물', 'quantity': '500ml'}]",[]
5,https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/ffc96e63fb4a627be554e120679e5e831.jpg,"바삭 달콤 밥도둑, 밥새우볶음으로 완성하는 초간단 후리카케 레시피",3인분,20분 이내,초급,"[{'name': '밥새우', 'quantity': '100g'}, {'name': '다진 마늘', 'quantity': '1/2큰술'}, {'name': '간장 반', 'quantity': '큰술'}, {'name': '설탕', 'quantity': '2큰술'}, {'name': '기름', 'quantity': '2큰술'}, {'name': '올리고당', 'quantity': '1큰술'}, {'name': '통깨', 'quantity': '2큰술'}]",[]
6,https://recipe1.ezmember.co.kr/cache/recipe/2026/04/13/277626a44a8945a8dd644e4ba201127c1.jpg,연두부 양념장 만들기 다이어트 연두부 요리 레시피,2인분,5분 이내,아무나,"[{'name': '연두부\n90g', 'quantity': '2팩'}, {'name': '다진대파 또는 쪽파', 'quantity': '2T'}, {'name': '다진마늘', 'quantity': '0.5T'}, {'name': '간장', 'quantity': '1T'}, {'name': '맛술', 'quantity': '1T'}, {'name': '설탕', 'quantity': '0.5T'}, {'name': '고춧가루', 'quantity': '0.5T'}, {'name': '들기름', 'quantity': '1T'}, {'name': '통깨', 'quantity': '0.5T'}]","[{'description': '연두부는 포장 비닐을 벗기고 뒤집은 채로 두어 물기를 빼 주세요.\n수분을 빠지는 동안 양념장을 만들어 줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/13/cf1c90332edf1b56b55c8c84f68dcd441.jpg'}, {'description': '대파나 쪽파는 송송 썰어 주세요.\n간장 양념에 대파나 쪽파를 넣으면 개운한 맛이 더해져 양념장이 더욱 맛있습니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/13/90c41ea5eec63eb892c91ad8ab4e32211.jpg'}, {'description': '소스볼에 양념 재료를 모두 넣은 뒤 다진 대파나 쪽파를 넣고 섞어 연두부 양념장을 만들어 주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/13/ea7b6d58af1902af9d4bcfe40d8f49f91.jpg'}, {'description': '그릇에 연두부를 담고 먹기 전에 양념장을 올려 드세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/13/aaea7a9b00d4b974f9747d64c93f652b1.jpg'}]"
7,https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/03a421e03a4877bfab984825e2af534e1.jpg,다이어트두부면(17칼로리)불 없이만드는 시원한 두부면콩국수,2인분,15분 이내,아무나,"[{'name': '오이', 'quantity': '1/3개'}, {'name': '토마토', 'quantity': '2조각'}, {'name': '찐계란', 'quantity': '1개'}, {'name': '깨소금', 'quantity': '약간'}, {'name': '소금', 'quantity': '약간'}]","[{'description': '콩국물은 두유제조기로 32분만에ㅣ뚝딱 준비해주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/ecdff1e263842324d80b27887630e2731.jpg'}, {'description': '콩물 준비하는동안 삶을필요없는 두부면은 흐르는물에 씻어 체반에받처주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/6cb4091abd2b70c93a144d908148cca41.jpg'}, {'description': '오이는체썰고 토마토2조각으로 잘라주시고 찐계란은 반으로잘라주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/887c46f40f1072e160bc7555a9f3e0fb1.jpg'}, {'description': '콩물이완성도면 얼음넣고 소금간약간하시고 두부면을 넣어주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/8bb27bfc41e8277c8f4d1da3570e80a91.jpg'}, {'description': '준비해놓은 고명을 위에올려주시고 깨소금넣어주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/16/1fcd9617d2a9f3c02d1d1d86fd5c55621.jpg'}]"
8,https://recipe1.ezmember.co.kr/cache/recipe/2026/04/21/fa7738507569aded6f51c2038bad8f631.jpg,취나물 된장무침 (야생 취나물),5인분,30분 이내,초급,"[{'name': '생취나물', 'quantity': '500g'}, {'name': '소금', 'quantity': '1큰술'}, {'name': '된장', 'quantity': '2큰술'}, {'name': '다진마늘', 'quantity': '1큰술'}, {'name': '매실청', 'quantity': '1큰술'}, {'name': '참기름', 'quantity': '1큰술'}, {'name': '깨소금', 'quantity': '1큰술'}]","[{'description': '지리산 야생취나물 (#구례로컬푸드)\n500g을 다듬기 한다\n바구니', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/21/54be744973dc2067cd215ed9d41a29961.jpg'}, {'description': '끓는 물에(세척한 취나물)\n소금 한큰술 넣고\n1분 정도 데친다\n냄비.나무젓가락', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/21/952412b5f948baa6f7642e598de922f31.jpg'}, {'description': '찬물에 한번 헹군다\n스텐볼', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/21/c7af30d79cd93fba17bddb6d3982f53a1.jpg'}, {'description': '채반에 물기를 뺀다\n채반\n센불', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/21/d38e8fcb820d3134bf24e1c1ab5f48111.jpg'}, {'description': '된장 1큰술 반\n다진마늘 1큰술\n매실청 1큰술\n참기름 1큰술\n깨소금 1큰술\n된장무침 할 때는\n맛있는 된장으로 무쳐야\n맛깔스럽습니다\n스텐볼', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/21/fbc8808bc4360072b3b17d4118270dd11.jpg'}, {'description': '반찬통에 담는다\n반찬통', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/21/5a657bb82209ed3efcba090a33dd9b3e1.jpg'}, {'description': '접시에\n먹을만큼만 덜어낸다\n접시', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2026/04/21/5771ac21360c700b975931b391a152dd1.jpg'}]"
9,https://recipe1.ezmember.co.kr/cache/recipe/2025/11/07/3da118ba2d017500e14b7f834c9ac4de1.jpg,굴소스 팽이버섯 계란 덮밥 만들기 한 그릇 레시피,1인분,10분 이내,아무나,"[{'name': '밥', 'quantity': '1공기'}, {'name': '팽이버섯', 'quantity': '1봉지'}, {'name': '계란', 'quantity': '2개'}, {'name': '대파', 'quantity': ''}, {'name': '식용유', 'quantity': '1T'}, {'name': '간장', 'quantity': '1T'}, {'name': '굴소스', 'quantity': '1T'}, {'name': '물', 'quantity': '3T'}, {'name': '참기름', 'quantity': '1T'}]","[{'description': '재료 준비', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2025/11/07/6824492aea00196adadc6e8add7d30751.jpg'}]"
