img,title,quantity,time,difficulty,ingredients,steps
https://recipe1.ezmember.co.kr/cache/recipe/2023/01/06/7abceca08682d532024f9929417685151.jpg,간단한데 맛있는 감자조림,2인분,15분 이내,아무나,"[{'name': '감자', 'quantity': '2개'}, {'name': '간장', 'quantity': '2숟가락'}, {'name': '굴소스', 'quantity': '0.5숟가락'}, {'name': '올리고당', 'quantity': '3숟가락'}, {'name': '다진마늘', 'quantity': '0.5숟가락'}]","[{'description': '감자는 먹기 좋은 크기로 잘라서\n전분이 빠지도록 30분이상 물에 담갔다가 빼주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/01/06/0d6a80db13db0913b38c230f17b9d8231.jpg'}, {'description': '기름을 두르고 감자를 조금 익혀주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/01/06/541a0c2fde9f072969dac36834c2ee7d1.jpg'}, {'description': '다진마늘 반스푼정도 넣어서 더 익혀주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/01/06/34ad69ea7b1646a6aef232e0f1e2aabd1.jpg'}, {'description': '물을 감자 조금 잠길정도로 넣어주세요\n기름에만 감자를 익힐경우에 겉에만 탈수있는데\n물을 넣어서 익히면 그럴경우를 방지할 수 있어요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/01/06/4dc18589cb04a4eadc077e2e8ca912621.jpg'}, {'description': '간장2 굴소스0.5 올리고당3 넣어주세요\n(밥숟가락 기준)', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/01/06/883de7852b68a60acb61d04ed29eca3d1.jpg'}, {'description': '잘 섞어주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/01/06/1093e31d84312e845642634dd61ce3a11.jpg'}, {'description': '마지막에 깨뿌려서 더 조려주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/01/06/ced30cc75b2918c7ad8d7e43ae37662c1.jpg'}, {'description': '물이 없어질때까지 조려주면 완성이에요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2023/01/06/87e8539d19a8cf8692e3688b12dec9e51.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/6064f905213222e26e80aaa79b29ebda1.jpg,가지돼지고기볶음.가지요리,4인분,15분 이내,아무나,"[{'name': '가지', 'quantity': '4개'}, {'name': '다진돼지고기', 'quantity': '400g'}, {'name': '진간장', 'quantity': '4큰술'}, {'name': '맛술', 'quantity': '2큰술'}, {'name': '매실액', 'quantity': '2큰술'}, {'name': '다진마늘', 'quantity': '1/3작은술'}, {'name': '육수', 'quantity': '3큰술'}, {'name': '후추가루', 'quantity': '톡톡'}, {'name': '들기름', 'quantity': '적당량'}, {'name': '통깨', 'quantity': '약간'}]","[{'description': '제목그대로 재료는 가지와 다진돼지고기.\n다진돼지고기여도 되고 버섯이어도 되요.\n있는거 그대로~', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/c966a887d42556dd60edec37e9ec2e5a1.jpg'}, {'description': '가지는 반갈라서 어슷썰기\n4개가 많다구요?\n노우노우~\n볶아놓음 에게!!이거야??하죠.\nㅎㅎㅎㅎ', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/a87c4463678fb99847ecbf14fff6d0d31.jpg'}, {'description': '들기름과 통깨를 제외한 양념장 재료를 몽땅 섞어둡니다.\n진간장4큰술, 맛술2큰술, 매실액2큰술, 다진마늘1큰술, 육수3큰술\n후추가루톡톡톡\n육수가 없으시면 그냥 물 사용해도 됩니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/daa735a9444d3be10b974eec5bf7aa5c1.jpg'}, {'description': '만들어놓은 양념장을\n다진돼지고기에 한수저 넣어서 밑간해두세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/13577fd5b2603a105bc5c0e608d122061.jpg'}, {'description': '기름두르지 않은 웍에 어슷썰은 가지를 볶아줍니다.\n수분 날리듯이 볶아 주는거예요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/87926aac30ef16c8cc946ca297749bf61.jpg'}, {'description': '이렇게 수분이 촉촉히 나오면서 날라가면서~\n가지가 이렇게 됩니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/a3e775ffdd3119ff0f8e85871d4dac4b1.jpg'}, {'description': '수분이 촉촉히 다 빠져나왔다 싶으면\n가지를 빙둘러 가장자리로 밀어놓고\n밑간해둔 다진돼지고기를 가운데 넣고 볶아주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/d4b96c5d1ebb233c930a769ac501e5481.jpg'}, {'description': '돼지고기 잘 볶아졌죠?\n가지와 돼지고기를 섞어 줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/fdca2b89d5dc589d5672a10997911af31.jpg'}, {'description': '잘 어우러진 가지와 돼지고기에\n양념장을 넣고 볶아주세요.\n양념장 몽땅 넣지 마시고.\n한수저씩 넣으면서 간을 맞춰 줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/a1f60ca9a3147c7e99cc58459e4feafc1.jpg'}, {'description': '촉촉하게 양념장이 잘 스며들었어요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/c5c99526e81c5866f1201256634a7f271.jpg'}, {'description': '마무리는 들기름 빙둘러서.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/06/07/aea1d026b1b24029124cb35894c338f31.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2015/05/26/201c405ac4804848a0d2e5e5dcefaf531.jpg,밥도둑 굴비감자조림,2인분,30분 이내,초급,"[{'name': '굴비', 'quantity': '3마리'}, {'name': '감자', 'quantity': '2개'}, {'name': '청양고추', 'quantity': '2개'}, {'name': '대파', 'quantity': '약간'}, {'name': '고추가루', 'quantity': '1큰술'}, {'name': '간장', 'quantity': '1큰술'}, {'name': '맛술', 'quantity': '2큰술'}, {'name': '다진마늘', 'quantity': '1/2큰술'}, {'name': '들기름', 'quantity': '1큰술'}, {'name': '후추가루', 'quantity': '약간'}, {'name': '물', 'quantity': '2컵'}]","[{'description': '굴비는 가위를 이용해 지느러미를 손질해준 다음 칼등으로 비늘을 제거하고 씻어주었답니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/27/9a7fb7dd47431316cbee683570e61d8b1.jpg'}, {'description': '대파와 청양고추는 어슷썰어주고 껍질을 벗긴 감자는 도톰하게 3등분해주었어요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/27/459e359eb9069edf4a1b9176f7f97a531.jpg'}, {'description': '고추가루 1큰술, 간장 1큰술, 맛술 2큰술, 다진마늘 1/2큰술, 들기름 1큰술, 후추가루 약간을 넣어 양념장을 만들어 주구요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/27/c5f4133e51a1e14ac05d6420188fe84b1.jpg'}, {'description': '냄비바닥에 감자를 넣고 그위에 굴비를 올린다음 양념장과 대파, 청양고추를 넣어주고 물을 부어주셔요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/27/a6fea24c79570d37edecc900050e74a31.jpg'}, {'description': '센불에 팔팔~ 끓으면 불을 중약불로 줄여 20여분간 은근하게 졸여주면 된답니다. 중간에 양념장을 굴비에 끼얹어주구요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/27/cfe555c2823bd997e183193f3e0d9d621.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/5d2a1f71ad465a34d788fddd7035f0461.jpg,훈제오리 감자볶음,3인분,30분 이내,아무나,"[{'name': '감자', 'quantity': '3개'}, {'name': '오리고기', 'quantity': '적당히'}, {'name': '소금', 'quantity': ''}]","[{'description': '감자 3개를 준비해 껍질을 벗겨 주고\n조금 도톰하게 채 썰어 주고\n너무 얇게 하면 볶을 때 다 부서지더라고요.\n그래서 어느 정도 두께감이 있는 게 좋아요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/5d1bc3aa65981937ffda2f7ed29668ca1.jpg'}, {'description': '그리고 흐르는 물에 씻어 전분기를 빼고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/2ebacffbe1398e20326df7cbcb8c6e031.jpg'}, {'description': '찬물에 5분 정도 담가 두었다가', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/c0072597e550f619661fc20d1f9a49fd1.jpg'}, {'description': '체에 밭쳐 물기를 빼주세요.\n물이 많이 묻어 있으면\n볶을 때 기름이 튈 수 있으니깐 물기 제거는 필수', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/d89aeacf9f8bc8ab36692b810ec666631.jpg'}, {'description': '오리고기는 특별하게 계량할 필요 없이\n드실 만큼 준비해 대충 잘라 줍니다. ㅎㅎ\n통으로 구워도 사실 무관하지만~\n저는 칼질을 해서 볶아 주었어요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/1ae0062ccc2b0ace40cd64cdfdf9cafa1.jpg'}, {'description': '달군 팬에 훈제오리 올리고\n달달 볶아 줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/8027ac9c3de0ff2adce4a6458f4e8f2b1.jpg'}, {'description': '그럼 사진처럼 오리가 갖고 있던\n기름이 마구마구 사정없이 나오기 시작해요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/7d1a6735cf9a2499a7c2b5ae50d953d01.jpg'}, {'description': '이때 물기 빼놓은 감자를 넣어 볶아 주면 된답니다.\n훈제 오리라 기본 간이 되어 있어\n싱겁게 드시고 싶다 하심 소금 패스!\n저는 그래도 감자에 소금 간이 조금은 돼있어야지\n맛있을 것 같아 소금 한 꼬집 정도 솔솔 뿌려 준 다음\n볶아 주었어요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/0ccc332fc802193d21825f9b051c74371.jpg'}, {'description': '오리에서 기름이 계속 나오니깐\n감자가 탈수가 없는~ ㅎㅎ\n그리고 맛이 없을 수가 없잖아요!\n윤기 좌르르~~', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/df1483ce2d6d6922834f01e243ea47b21.jpg'}, {'description': '감자가 완벽하게 익으면\n취향껏 후춧가루 뿌려 마물~!!', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/da3245aed92f23bb9ff278f4134a50451.jpg'}, {'description': '완성', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2020/12/12/23702b41bba8097fd5575856ebefb1eb1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2016/06/01/0f9ba36d7cb2e038f44288225354caeb1.jpg,매운맛 쏙 마늘 꿀조림 만들기,2인분,30분 이내,아무나,"[{'name': '간장', 'quantity': '2큰술'}, {'name': '꿀', 'quantity': '3큰술'}, {'name': '맛술', 'quantity': '1큰술'}, {'name': '마늘', 'quantity': '2컵'}]","[{'description': '요즘 햇마늘이 많이 나와 있어요. 햇마늘 사와서 만들었어요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/06/01/1306005b36c3314151fae38f85cfbe7d1.jpg'}, {'description': '냄비에 물을넣고 끓으면 중불로 5분정도 삶아주세요. 5분이면 알맞게 삶아 진 것 같아요. 이렇게 해주면 매운맛도 없어지고 특유의 마늘 냄새도 제거 됩니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/06/01/3a514d072251ef234c13cb9c2be070571.jpg'}, {'description': '마늘의 물기를 빼주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/06/01/f88361e50a6e3b3e2d2b381846d6e3b11.jpg'}, {'description': '팬에 양념재료 간장,꿀,맛술 넣고 약한불에서 끓이세요. 센불에서 하면 조림장이 다 날라가 버립니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/06/01/fd78417031ef5bf3b771bc969dabca001.jpg'}, {'description': '끓으면 마늘 넣고 중약불로 계속 타지않게 조려줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/06/01/2f701f6383001f62e875265bb1a923021.jpg'}, {'description': '조림장이 어느정도 졸여지면 완성', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/06/01/30265e3ca10e9042e9141001d6c72c451.jpg'}, {'description': '매운맛이 싹 없어지고 달콤한 마늘조림이 되었네요. 아이들도 먹을수 있어요. 마지막에 집에 있는 견과류 아몬드,땅콩 을 버무려도 좋아요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2016/06/01/6f11f83801f4c15b17df8a7999c5b01a1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2017/04/03/8665a4426fbeb79fa5aa81efbea434f51.jpg,"초절임무, 고기와 잘 어울리는 밑요리",3인분,15분 이내,초급,"[{'name': '무', 'quantity': '1/4개'}, {'name': '물', 'quantity': '200cc'}, {'name': '설탕', 'quantity': '180g'}, {'name': '식초', 'quantity': '180cc'}, {'name': '소금', 'quantity': '1/2T'}]","[{'description': '일단 무를 깨끗하게 씻어주고,\n껍질을 전부 벗겨주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/04/03/01d8dd3d9adb8ff06a8f61a28ebcc4cb1.jpg'}, {'description': '껍질을 벗긴 무를 절반으로 잘라주고,\n되도록이면 가늘고 얇게 썰어주세요.\n두꺼우면 먹을 때 식감이 떨어져요.\n할 수 있을 만큼 얇게 썰어주셔야 돼요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/04/03/4b232775e0350d864923b5538802edda1.jpg'}, {'description': '채 썰어준 무를\n보관할 그릇에 담아주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/04/03/b532d92708ed7be9996ac49807c78dd61.jpg'}, {'description': '이제 밑에 재료를 넣고 잘 섞어\n초절임 무의 소스를 만들어주세요.\n물 200cc, 설탕 180g, 식초 180cc, 소금 1/2T', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/04/03/18b598e11ec72073a4b07ad73e00727d1.jpg'}, {'description': '소스를 그릇에 넣어주시면\n초절임 무 완성~!!', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/04/03/c955308d01c5cc5e99fd58cefefb08cb1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2018/11/19/6acb0a1a4878cac9cd32110a158cb3861.jpg,요리법도 간단하며 맛있는 간장 감자조림(아이 밑반찬),2인분,30분 이내,아무나,"[{'name': '감자', 'quantity': '2개'}, {'name': '양파', 'quantity': '1/4개'}, {'name': '당근', 'quantity': '조금'}, {'name': '조림간장', 'quantity': '3큰술'}, {'name': '설탕', 'quantity': '1스푼'}, {'name': '올리고당', 'quantity': '2스푼'}, {'name': '참기름', 'quantity': '1/2스푼'}, {'name': '통깨', 'quantity': '약간'}]","[{'description': '감자,양파,당근은 먹기좋은크기로\n썰어 주시고\n감자는 전분기를 제거하기 위해\n한두번 휑궈 내면 됩니다\n귀찮아도 맛있게 먹는 과정이닌까\n빼먹지 마세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/11/19/79dfb35ad7ebd4e4e626b21bc29cddbc1.jpg'}, {'description': '저는 볶지않고 아주 간단하게\n하는데요. 감자와 간장3스푼과 설탕1스푼을 넣고 물은 감자가\n잠길정도 넣은후 센불에서 끓여\n줍니다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/11/19/3875d9e7a61ab244952525b7e3d07ea11.jpg'}, {'description': '뚜껑은 열고 끓이다가 중약불로\n조절하여 졸이듯 끓입니다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/11/19/53c3c456e09b3237bee63ed2983984b41.jpg'}, {'description': '감자가 어느정도 익으면 양파와\n당근을 넣어 줍니다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/11/19/9da0ceb3c79e256889bf4d36165a44211.jpg'}, {'description': '중약불에서 졸이다가 마지막에\n간을 한번 보시고 싱거우면 간장\n추가하고요 단맛이 더 필요하면\n올리고당 또는 물엿을 넣어 주세요\n마지막 참기름 한스푼 또르록!!', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/11/19/0c3881608b4ae5c8071a2fcef5579f821.jpg'}, {'description': '깨소금 뿌려 접시에 담아내닌까\n모양도 예쁘죠 ㅎㅎ\n정말 어렵지 않은 간장 감자조림\n졸여 주기만 하면 되는 레시피!!\n사랑스런 아이들에게 오늘\n저녁반찬으로 추천 합니다^^', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/11/19/918e62ef939c47918859fb00e47423ee1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2019/01/06/00a1d0998e827b54c155ceba7d0ec2361.jpg,다이어트 반찬 느타리버섯 무침,3인분,15분 이내,아무나,"[{'name': '느타리버섯', 'quantity': '1팩'}, {'name': '양파', 'quantity': '1/2개'}, {'name': '청양초\n작은', 'quantity': '4개'}, {'name': '간장', 'quantity': '1큰술'}, {'name': '참기름', 'quantity': '1큰술'}, {'name': '소금', 'quantity': '2꼬집'}, {'name': '통깨', 'quantity': '솔솔'}, {'name': '후추', 'quantity': '톡톡'}, {'name': '다진마늘', 'quantity': '1티스푼'}]","[{'description': '고추 반을 자른 후\n고추 씨를 제거하고 길이로\n채 썰어 주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/06/9d5f0f0c2ab76a563c836d172b17c4201.jpg'}, {'description': '양파 얇게 채 썰어 준비합니다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/06/6d51b0354a7670f183fded5754e1d87f1.jpg'}, {'description': '느타리버섯 밑동을\n조금 자른 후 한 가닥씩 뜯어 주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/06/a634e82cfe2e85f84c18b682207e8a921.jpg'}, {'description': '끓는 물에 15초 정도\n살짝 데친 후 물기를 꾹 짜고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/06/2242f8458bef875d9905bf36769fd60c1.jpg'}, {'description': '볼에 담아 주세요', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/06/b74b63e7efd86f985ade4c8692d3bfd71.jpg'}, {'description': '준비한 고추 양파 넣고', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/06/336637d28cfcc8a248757a29d3a43f691.jpg'}, {'description': '분량의 양념을 모두 넣은 후', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/06/92135be495acc1ae92d11bd76515c1011.jpg'}, {'description': '슥슥~ 무쳐내면 완성입니다', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/01/06/1046bcaa310668fd7f0a8946d5e4b61c1.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2017/10/26/5ff4627a58ffbb2c7a8ae9c470f24c801.jpg,10분이내 저렴한 재료로 맛나게 만드는 꽈리고추 어묵조림,4인분,10분 이내,초급,"[{'name': '꽈리고추', 'quantity': '250g'}, {'name': '납작어묵', 'quantity': '6장'}, {'name': '간장', 'quantity': '3T'}, {'name': '간마늘', 'quantity': '1T'}, {'name': '물\n필요에 따라 약간 더', 'quantity': '3T'}, {'name': '꿀\n아가베/물엿/올리고당', 'quantity': '3T'}, {'name': '참기름', 'quantity': '1T'}, {'name': '통깨', 'quantity': '적당량'}]","[{'description': '꽈리고추는 꼭지를 따고 깨끗이 씻어 물기를 제거해주고 어묵은 먹기좋은 크기로 잘라주세요. 어묵의 기름기가 싫으시면 뜨거운 물에 살짝 헹구다시피 데치셔도 좋습니다. 저는 뜨거운 정수기물에 담궜다가 한 번 헹궈준 다음 잘라줬어요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/10/26/6b3a276a5ab56042e54108de04042d661.jpg'}, {'description': '팬이나 냄비에 불 올리기 전에 꽈리고추와 간장3T, 간마늘1T, 꿀3T, 물3T를 한꺼번에 넣고나서 센불에 놓고 졸이기 시작합니다.\n강불\n시작 전 옆에 물 반컵정도 미리 준비해두셔야 중간에 탈 것 같은 순간에 물을 언제든 부어줄 수 있어요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/10/26/b296c2c7c8a24119fde130a79dad95e21.jpg'}, {'description': '조금있으면 막 끓기 시작하는데 간이 골고루 배도록 뒤적여주며 양념을 졸입니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/10/26/a19c7af33d0a1ce877641c82047d9ae61.jpg'}, {'description': '양념이 바닥에 조금만 남으면 불을 중약으로 줄이고\n중약불', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/10/26/ed6032d646cb0ee005d9a7dd079438161.jpg'}, {'description': '바로 잘라둔 어묵을 넣어주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/10/26/d3dd8e051e9b7ad811ca4b5c7b052a841.jpg'}, {'description': '어묵에 남은 양념이 고루 묻고 잘 익었다 싶으면 불을 끈 다음 참기름 1T 넣어 휘리릭 저어주시고 그릇에 낼 때 볶은 통깨 뿌려내는 건 옵션~', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/10/26/d5dda1526131b914459436c738ccb9451.jpg'}]"
https://recipe1.ezmember.co.kr/cache/recipe/2017/11/01/3efe195767e92274648b975aae50dce91.jpg,"깻잎장아찌, 삼겹살과 환상궁합",2인분,30분 이내,아무나,"[{'name': '물', 'quantity': '1.5종이컵'}, {'name': '진간장', 'quantity': '1종이컵'}, {'name': '매실청', 'quantity': '0.5종이컵'}, {'name': '설탕', 'quantity': '0.3종이컵'}, {'name': '식초', 'quantity': '0.3종이컵'}, {'name': '깻잎', 'quantity': '30장'}, {'name': '식초\n세척', 'quantity': '1숟갈'}]","[{'description': '깻잎 식초물에 5분가량 담구어 흐르는물에 헹궈줍니다.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/11/01/e134ee1be914d5c98635906e184a54611.jpg'}, {'description': '물 1.5컵, 진간장 1컵, 매실청 0.5컵, 설탕 0.3컵, 식초 0.3컵\n쎈불로 끓여주세요. 완전 보글보글 거리면 열김을 식혀주세요.', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/11/01/63b739123263e4855919f8eff1a71f091.jpg'}, {'description': '깻잎을 먹기좋게 가위로 반틈 잘라주었어요^^\n한장은 늘 크다고 느낄때도 있어서 먹기좋게 잘라 반찬통에 담아보았어요!', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/11/01/eb5035f8642b9c0cdc237a59f6469e3c1.jpg'}, {'description': '식은 간장을 부어 냉장보관 해주시고, 3일 뒤에 고기와 먹으면 된답니다^^\n더 오래 보관하고 싶으시면 중간에 간장을 한 번더 끓여주시고 양파를 넣어주면 양파장아찌랍니다❤️', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/11/01/5ff339172f0239b2f3affc203a7024cf1.jpg'}, {'description': '삼겹살과 깻잎장아찌 환상궁합❤️\n깻잎 한번 사면 양이 많아 항상 남고, 빨리 시들해져서 아까웠는데 이렇게 간단 깻잎장아찌로 삼겹구이를 더욱더 맛있게 즐겼네요^^!', 'image': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/11/01/a150dc8615c6c06173fffb236eb1c7241.jpg'}]"
