model_folder,ingredient_id,normalized_name,display_name,category_suggestion,train_count,val_count,test_count,needs_train_images,team_upload_path
ing_00001,1,알배추잎,알배추잎,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00001/
ing_00002,2,가루,가루,곡류,0,0,0,Y,data_sources/team_uploads/train/ing_00002/
ing_00003,3,물,물,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00003/
ing_00005,5,소금,소금,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00005/
ing_00006,6,무청시래기,무청시래기,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00006/
ing_00007,7,샤브용 소고기 목살,샤브용 소고기 목살,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00007/
ing_00009,9,파,파,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00009/
ing_00010,10,육수,육수,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00010/
ing_00011,11,국간장,국간장,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00011/
ing_00012,12,참치액젓,참치액젓,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00012/
ing_00013,13,맛술,맛술,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00013/
ing_00014,14,들기름,들기름,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00014/
ing_00016,16,후추,후추,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00016/
ing_00018,18,고추장,고추장,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00018/
ing_00019,19,된장,된장,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00019/
ing_00020,20,집고추장,집고추장,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00020/
ing_00021,21,설탕,설탕,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00021/
ing_00022,22,어묵,어묵,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00022/
ing_00023,23,달걀,달걀,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00023/
ing_00024,24,다시마,다시마,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00024/
ing_00025,25,진간장,진간장,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00025/
ing_00027,27,연두부,연두부,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00027/
